gene_name,uniprot,hgnc_symbol,ensembl
COL11A2,P13942,COL11A2,ENSG00000206290
COL11A2,P13942,COL11A2,ENSG00000223699
COL11A2,P13942,COL11A2,ENSG00000235708
COL12A1,Q99715,COL12A1,ENSG00000111799
COL13A1,Q5TAT6,COL13A1,ENSG00000197467
COL14A1,Q05707,COL14A1,ENSG00000187955
COL15A1,P39059,COL15A1,ENSG00000204291
COL16A1,Q07092,COL16A1,ENSG00000084636
COL17A1,Q9UMD9,COL17A1,ENSG00000065618
COL18A1,P39060,COL18A1,ENSG00000182871
COL19A1,Q14993,COL19A1,ENSG00000082293
COL1A1,P02452,COL1A1,ENSG00000108821
COL1A2,P08123,COL1A2,ENSG00000164692
COL20A1,Q9P218,COL20A1,ENSG00000101203
COL21A1,Q96P44,COL21A1,ENSG00000124749
COL22A1,Q8NFW1,COL22A1,ENSG00000169436
COL24A1,Q17RW2,COL24A1,ENSG00000171502
COL26A1,Q96A83,COL26A1,ENSG00000160963
COL27A1,Q8IZC6,COL27A1,ENSG00000196739
COL28A1,Q2UY09,COL28A1,ENSG00000215018
COL2A1,P02458,COL2A1,ENSG00000139219
COL3A1,P02461,COL3A1,ENSG00000168542
COL4A1,P02462,COL4A1,ENSG00000187498
COL4A2,P08572,COL4A2,ENSG00000134871
COL4A3,Q01955,COL4A3,ENSG00000169031
COL4A4,P53420,COL4A4,ENSG00000081052
COL4A5,P29400,COL4A5,ENSG00000188153
COL4A6,Q14031,COL4A6,ENSG00000197565
COL5A1,P20908,COL5A1,ENSG00000130635
COL5A2,P05997,COL5A2,ENSG00000204262
COL5A3,P25940,COL5A3,ENSG00000080573
COL6A1,P12109,COL6A1,ENSG00000142156
COL6A2,P12110,COL6A2,ENSG00000142173
COL6A3,P12111,COL6A3,ENSG00000163359
COL6A5,A8TX70,COL6A5,ENSG00000172752
COL6A6,A6NMZ7,COL6A6,ENSG00000206384
COL7A1,Q02388,COL7A1,ENSG00000114270
COL8A1,P27658,COL8A1,ENSG00000144810
